Serial No.,Timestamp (yyyy-MM-dd HH:mm:ss.SSS),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
155,2026-02-19 12:47:02.229,1.335,6.1420503,7.2900004,0.2050125,-0.30195,0.1945625
156,2026-02-19 12:47:02.230,1.212,6.13005,7.4479504,0.2050125,-0.30195,0.1945625
157,2026-02-19 12:47:02.231,1.2049501,6.1080003,7.4479504,0.2050125,-0.30195,0.1945625
158,2026-02-19 12:47:02.231,1.2049501,6.1080003,7.4479504,0.030524999,-0.1274625,0.033825
159,2026-02-19 12:47:02.287,1.2409501,6.0990005,7.359,0.030524999,-0.1274625,0.033825
160,2026-02-19 12:47:02.288,1.2889501,6.216,7.15605,0.030524999,-0.1274625,0.033825
161,2026-02-19 12:47:02.289,1.4280001,6.35505,6.93795,0.030524999,-0.1274625,0.033825
162,2026-02-19 12:47:02.290,1.58595,6.4360504,6.7369504,0.030524999,-0.1274625,0.033825
163,2026-02-19 12:47:02.290,1.6890001,6.4840503,6.57105,0.030524999,-0.1274625,0.033825
164,2026-02-19 12:47:02.310,1.72695,6.5130005,6.53805,0.030524999,-0.1274625,0.033825
165,2026-02-19 12:47:02.312,1.74195,6.5179505,6.6220503,0.030524999,-0.1274625,0.033825
166,2026-02-19 12:47:02.315,1.6789501,6.52995,6.9570003,0.030524999,-0.1274625,0.033825
167,2026-02-19 12:47:02.316,1.6789501,6.52995,6.9570003,-0.0215875,0.0193875,-0.078925
168,2026-02-19 12:47:02.332,1.62405,6.56295,7.3300505,-0.0215875,0.0193875,-0.078925
169,2026-02-19 12:47:02.332,1.59105,6.58995,7.7040005,-0.0215875,0.0193875,-0.078925
170,2026-02-19 12:47:02.367,1.5979501,6.6280503,7.9750504,-0.0215875,0.0193875,-0.078925
171,2026-02-19 12:47:02.369,1.6189501,6.6660004,8.04195,-0.0215875,0.0193875,-0.078925
172,2026-02-19 12:47:02.370,1.58595,6.7189503,7.8840003,-0.0215875,0.0193875,-0.078925
173,2026-02-19 12:47:02.392,1.4280001,6.7639503,7.635,-0.0215875,0.0193875,-0.078925
174,2026-02-19 12:47:02.393,1.1910001,6.8200502,7.491,-0.0215875,0.0193875,-0.078925
175,2026-02-19 12:47:02.393,0.98700005,6.9270005,7.6470003,-0.0215875,0.0193875,-0.078925
176,2026-02-19 12:47:02.394,0.98700005,6.9270005,7.6470003,6.875E-4,0.0748,-0.2046
177,2026-02-19 12:47:02.432,0.84105,6.9990005,7.7779503,6.875E-4,0.0748,-0.2046
178,2026-02-19 12:47:02.434,0.813,7.05705,7.7040005,6.875E-4,0.0748,-0.2046
179,2026-02-19 12:47:02.434,0.85800004,7.05705,7.5700502,6.875E-4,0.0748,-0.2046
180,2026-02-19 12:47:02.435,0.846,6.9940505,7.3690505,6.875E-4,0.0748,-0.2046
181,2026-02-19 12:47:02.446,0.70995003,6.9679503,7.1920505,6.875E-4,0.0748,-0.2046
182,2026-02-19 12:47:02.472,0.50100005,6.918,7.14405,6.875E-4,0.0748,-0.2046
183,2026-02-19 12:47:02.473,0.36,6.7519503,7.1250005,6.875E-4,0.0748,-0.2046
184,2026-02-19 12:47:02.474,0.303,6.59205,7.1340003,6.875E-4,0.0748,-0.2046
185,2026-02-19 12:47:02.474,0.303,6.59205,7.1340003,-0.066275,-0.01045,-0.0097624995
186,2026-02-19 12:47:02.518,0.33900002,6.4030504,7.1250005,-0.066275,-0.01045,-0.0097624995
187,2026-02-19 12:47:02.519,0.504,6.3169503,7.1290503,-0.066275,-0.01045,-0.0097624995
188,2026-02-19 12:47:02.520,0.67395,6.3240004,7.122,-0.066275,-0.01045,-0.0097624995
189,2026-02-19 12:47:02.521,0.75795,6.3450003,6.9640503,-0.066275,-0.01045,-0.0097624995
190,2026-02-19 12:47:02.529,0.71400005,6.32595,6.7579503,-0.066275,-0.01045,-0.0097624995
191,2026-02-19 12:47:02.554,0.62100005,6.2380505,6.68205,-0.066275,-0.01045,-0.0097624995
192,2026-02-19 12:47:02.555,0.504,6.1080003,6.6840005,-0.066275,-0.01045,-0.0097624995
193,2026-02-19 12:47:02.556,0.40095,6.0750003,6.84,-0.066275,-0.01045,-0.0097624995
194,2026-02-19 12:47:02.557,0.40095,6.0750003,6.84,-0.018424999,0.1588125,0.0455125
195,2026-02-19 12:47:02.610,0.34605002,6.04395,7.1680503,-0.018424999,0.1588125,0.0455125
196,2026-02-19 12:47:02.611,0.26205,5.9100003,7.4070005,-0.018424999,0.1588125,0.0455125
197,2026-02-19 12:47:02.612,0.19500001,5.721,7.5390005,-0.018424999,0.1588125,0.0455125
198,2026-02-19 12:47:02.613,0.14205001,5.5939503,7.7470503,-0.018424999,0.1588125,0.0455125
199,2026-02-19 12:47:02.614,0.07305,5.49795,8.025001,-0.018424999,0.1588125,0.0455125
200,2026-02-19 12:47:02.631,-0.052950002,5.3880005,8.166,-0.018424999,0.1588125,0.0455125
201,2026-02-19 12:47:02.633,-0.15405001,5.3640003,8.2240505,-0.018424999,0.1588125,0.0455125
202,2026-02-19 12:47:02.634,-0.16995001,5.3830504,8.3220005,-0.018424999,0.1588125,0.0455125
203,2026-02-19 12:47:02.634,-0.16995001,5.3830504,8.3220005,-0.0312125,-0.050875,0.1285625
204,2026-02-19 12:47:02.692,-0.14895001,5.505,8.305051,-0.0312125,-0.050875,0.1285625
205,2026-02-19 12:47:02.694,-0.12705001,5.61495,8.05395,-0.0312125,-0.050875,0.1285625
206,2026-02-19 12:47:02.694,-0.076950006,5.6340003,7.7880006,-0.0312125,-0.050875,0.1285625
207,2026-02-19 12:47:02.695,0.006,5.5579505,7.66095,-0.0312125,-0.050875,0.1285625
208,2026-02-19 12:47:02.696,0.079950005,5.49795,7.563,-0.0312125,-0.050875,0.1285625
209,2026-02-19 12:47:02.717,0.06105,5.4859505,7.6510506,-0.0312125,-0.050875,0.1285625
210,2026-02-19 12:47:02.718,-0.0049500004,5.4430504,8.02995,-0.0312125,-0.050875,0.1285625
211,2026-02-19 12:47:02.719,-0.087000005,5.4040504,8.488951,-0.0312125,-0.050875,0.1285625
212,2026-02-19 12:47:02.719,-0.087000005,5.4040504,8.488951,-0.1078,0.2237125,0.2030875
213,2026-02-19 12:47:02.733,-0.19005,5.328,8.752951,-0.1078,0.2237125,0.2030875
214,2026-02-19 12:47:02.770,-0.38805002,5.2699504,8.82495,-0.1078,0.2237125,0.2030875
215,2026-02-19 12:47:02.771,-0.61305004,5.2270503,8.98995,-0.1078,0.2237125,0.2030875
216,2026-02-19 12:47:02.772,-0.76905006,5.2489505,9.19095,-0.1078,0.2237125,0.2030875
217,2026-02-19 12:47:02.773,-0.81900007,5.2660503,9.186001,-0.1078,0.2237125,0.2030875
218,2026-02-19 12:47:02.796,-0.73605,5.2579503,8.96595,-0.1078,0.2237125,0.2030875
219,2026-02-19 12:47:02.797,-0.52005005,5.2270503,8.67405,-0.1078,0.2237125,0.2030875
220,2026-02-19 12:47:02.798,-0.30705002,5.235,8.25195,-0.1078,0.2237125,0.2030875
221,2026-02-19 12:47:02.799,-0.30705002,5.235,8.25195,0.1656875,-0.098725,0.228525
222,2026-02-19 12:47:02.831,-0.112950005,5.2849503,7.6969504,0.1656875,-0.098725,0.228525
223,2026-02-19 12:47:02.832,-0.01995,5.39505,7.1290503,0.1656875,-0.098725,0.228525
224,2026-02-19 12:47:02.833,0.034050003,5.5480504,6.67005,0.1656875,-0.098725,0.228525
225,2026-02-19 12:47:02.851,0.03195,5.71605,6.28695,0.1656875,-0.098725,0.228525
226,2026-02-19 12:47:02.853,0.04605,5.9500504,5.8939505,0.1656875,-0.098725,0.228525
227,2026-02-19 12:47:02.877,0.13995,6.2110505,5.47695,0.1656875,-0.098725,0.228525
228,2026-02-19 12:47:02.878,0.26700002,6.4960504,5.13495,0.1656875,-0.098725,0.228525
229,2026-02-19 12:47:02.879,0.384,6.6709504,4.90005,0.1656875,-0.098725,0.228525
230,2026-02-19 12:47:02.880,0.384,6.6709504,4.90005,0.56045,0.41525,0.1285625
231,2026-02-19 12:47:02.915,0.52095,6.7050004,4.86,0.56045,0.41525,0.1285625
232,2026-02-19 12:47:02.916,0.66405004,6.6900005,4.9120502,0.56045,0.41525,0.1285625
233,2026-02-19 12:47:02.917,0.91605,6.6540003,4.9429502,0.56045,0.41525,0.1285625
234,2026-02-19 12:47:02.931,1.179,6.6709504,5.1540003,0.56045,0.41525,0.1285625
235,2026-02-19 12:47:02.932,1.30095,6.7519503,5.5080004,0.56045,0.41525,0.1285625
236,2026-02-19 12:47:02.957,1.3729501,6.7639503,5.92995,0.56045,0.41525,0.1285625
237,2026-02-19 12:47:02.958,1.5310501,6.74805,6.37305,0.56045,0.41525,0.1285625
238,2026-02-19 12:47:02.959,1.43295,6.729,6.2959504,0.56045,0.41525,0.1285625
239,2026-02-19 12:47:02.960,1.43295,6.729,6.2959504,-0.2781625,0.1695375,0.2605625
240,2026-02-19 12:47:03.014,1.18095,6.6259503,6.2050505,-0.2781625,0.1695375,0.2605625
241,2026-02-19 12:47:03.015,1.27695,6.46005,6.36105,-0.2781625,0.1695375,0.2605625
242,2026-02-19 12:47:03.016,2.22,5.8879504,6.2200503,-0.2781625,0.1695375,0.2605625
243,2026-02-19 12:47:03.016,2.4409502,5.622,6.19995,-0.2781625,0.1695375,0.2605625
244,2026-02-19 12:47:03.017,1.99995,6.0820503,6.8280005,-0.2781625,0.1695375,0.2605625
245,2026-02-19 12:47:03.031,1.50705,6.4240503,7.668,-0.2781625,0.1695375,0.2605625
246,2026-02-19 12:47:03.032,1.4140501,6.3430505,7.6390505,-0.2781625,0.1695375,0.2605625
247,2026-02-19 12:47:03.044,1.5600001,6.2520003,7.1410503,-0.2781625,0.1695375,0.2605625
248,2026-02-19 12:47:03.045,1.5600001,6.2520003,7.1410503,-0.4888125,-0.0677875,-0.1247125
249,2026-02-19 12:47:03.093,1.43295,6.3889503,7.0309505,-0.4888125,-0.0677875,-0.1247125
250,2026-02-19 12:47:03.094,1.1359501,6.6400504,7.45695,-0.4888125,-0.0677875,-0.1247125
251,2026-02-19 12:47:03.095,0.74295,6.8650503,7.9530005,-0.4888125,-0.0677875,-0.1247125
252,2026-02-19 12:47:03.095,0.34800002,6.939,8.06295,-0.4888125,-0.0677875,-0.1247125
253,2026-02-19 12:47:03.096,0.087000005,6.9079504,8.14005,-0.4888125,-0.0677875,-0.1247125
254,2026-02-19 12:47:03.116,0.0010500001,6.6540003,8.38395,-0.4888125,-0.0677875,-0.1247125
255,2026-02-19 12:47:03.117,0.19995001,6.51105,8.7960005,-0.4888125,-0.0677875,-0.1247125
256,2026-02-19 12:47:03.127,0.46800002,6.6160502,9.061951,-0.4888125,-0.0677875,-0.1247125
257,2026-02-19 12:47:03.127,0.46800002,6.6160502,9.061951,-0.32065,0.74305,0.17325
258,2026-02-19 12:47:03.130,0.48900002,6.4960504,9.045,-0.32065,0.74305,0.17325
259,2026-02-19 12:47:03.173,0.50595003,6.3570004,8.80095,-0.32065,0.74305,0.17325
260,2026-02-19 12:47:03.174,0.64695,6.3690004,8.21895,-0.32065,0.74305,0.17325
261,2026-02-19 12:47:03.175,0.56805,6.453,7.6060505,-0.32065,0.74305,0.17325
262,2026-02-19 12:47:03.176,0.15900001,6.6280503,7.35405,-0.32065,0.74305,0.17325
263,2026-02-19 12:47:03.201,-0.24900001,6.7330503,7.1940002,-0.32065,0.74305,0.17325
264,2026-02-19 12:47:03.202,-0.513,6.597,7.0189505,-0.32065,0.74305,0.17325
265,2026-02-19 12:47:03.203,-0.59400004,6.42,6.8610005,-0.32065,0.74305,0.17325
